Day,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14
21,0.43,0.32,0.39,0,0.19,0,0,0.94,0.01,0,0.08,0.08,0.3,0.001,0.001,0.35,1.08,0,0,0,0,0,0,0.84,0,0,0.001,0,0,0,0,0,0.45,0,0,0.001,0.25,0.11,0,0,0.001,0,0,1.24,0.21,0,0,0.001
22,0,0,0.001,0.001,0.001,0.31,0,0,0.02,0,1.32,0.05,0,0,0,1.9,0.16,0.56,0,0,0.18,0,0,0.001,0.001,0.001,0,0,0,0,0.27,0.24,0.53,0.001,0.07,0.01,0.001,0,0,0.001,0.28,0,0,0.07,0.001,1.26,0,0.04
23,0,0,0.54,0.82,0.02,0.26,0,0,2.14,0,0.46,0.76,0.28,0,0,0.23,0.01,0.11,0.07,0,0,0.02,0.03,0,0,0.27,0,0.001,0.53,0.001,0.31,0,0,0.001,0.02,0.53,0,0.001,0,0,1.07,0,0.12,0.001,0,0.32,0,0.18
24,0,0.04,0.08,0.37,0,0.01,0.11,0,0,0.001,0,0,0,0.6,0.02,0,0.53,0.05,0.001,0,0,0.01,0,0.08,0,0.03,0,0,0.23,0.001,0,0,0,0,0,0.001,0,0.001,0,0,0.04,0,0,0,0,0.001,0.61,0.67
25,0.06,1.29,0,0.001,0,0,0.23,0.35,0,0,0,0,0,0.001,0.001,0.001,0.001,0.28,0,0,0,0,0,0.06,0.04,0,0.16,0,0.06,0.01,0.02,0,0,0,0,0,0.02,0,0.001,0.001,0,0.001,0,0,0.17,0.001,0,0.07
26,0.94,0,0,0,0,0,0.29,0.001,0,0,0,0.001,0.21,0,0,0.03,0.26,0,0.42,0,0.001,0,0,0.54,0,0.12,0.001,0,0,0.01,0,0.001,0,0,0.47,0,0.001,0.01,0,0.76,0,0.07,0.001,0,0,0.001,1.07,0
27,0.56,0,0,0.001,0,0,0,2.16,0.001,0.58,0,1.17,0.39,0,0,0.02,0.04,0,0,0.77,0.03,0,0.43,0.38,0,1.11,0,0,0,0.13,0,0.01,0,0.001,1.74,0,0,0.001,0,0,0.001,0,0.001,0,0,0,0.01,0
28,0.001,0.44,0,0.27,0,0,0,3.62,0.2,0,0,0,0,0,0.03,0,0.001,0,0.26,0.13,1.32,0.001,0,0,0.22,0.001,0.001,0,0.41,0.001,0.13,0.1,0,0,0,0,0,0,0.03,0,0,0,0.26,0.001,0,0,0,0.1
29,0.01,NA,0,0,0,0.03,1.57,0,0.43,1.77,0.29,0,0,0.41,0,0,0.09,0.19,0.001,0,0.001,0.54,0,0.26,0.09,NA,0,0.03,0.001,0,0.001,0.001,0,0,0,1.2,0.05,NA,1.79,0.03,0,0,0,0,0.001,0.001,0,0
30,0,NA,0.001,0,0.23,0,0,0,0.54,0.01,0,0,0,NA,0.1,0,0.001,0,0,0,0.11,0.04,0,0,0.03,NA,0,0,0,0.001,0,0,0,0,0,0.001,0,NA,0.37,5.26,0.03,0,0,0,0.04,0,0.001,0
31,0.001,NA,0.06,NA,0,NA,0.001,0,NA,0,NA,0.01,0,NA,0.35,NA,0,NA,0,0,NA,0.001,NA,0,0.88,NA,0.14,NA,0,NA,0,0,NA,0.05,NA,0.001,0,NA,0.12,NA,0.01,NA,0,0.79,NA,0.04,NA,0
